track_name,artist_name,genre,popularity,danceability,energy,loudness,acousticness,valence,tempo,speechiness,liveness,instrumentalness,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster
Under the Stars,John Legend,Soul,48,0.567,0.525,-6.6,0.369,0.365,137.934,0.032,0.063,1.29e-06,1,1,0
Too Many Years,Kodak Black,Rap,71,0.665,0.706,-6.859,0.0237,0.632,147.067,0.0958,0.112,0.0,1,1,0
September Song,Django Reinhardt,Jazz,38,0.622,0.377,-12.58,0.963,0.408,75.676,0.0513,0.152,0.886,2,1,0
Alipang (Alley Pon),Roland Alphonso,Ska,26,0.671,0.827,-5.334,0.238,0.792,128.38,0.0454,0.139,0.823,1,1,0
Drink Too Much,G Flip,Alternative,45,0.704,0.683,-4.536,0.0681,0.71,93.959,0.0412,0.166,0.0,1,1,0
"Burn the Disco Floor with Your ""2-step""!!","Fear, and Loathing in Las Vegas",Anime,21,0.47,0.927,-1.377,0.00085,0.422,156.976,0.0649,0.212,1.07e-06,1,1,0
Inhale Exhale (feat. Protoje),Rebelution,Rock,55,0.775,0.824,-2.558,0.00397,0.683,137.989,0.047,0.0509,0.0,1,1,0
Toaru Hajimari No Joukei - Bookstore on the Hill,flumpool,Anime,20,0.429,0.841,-4.135,0.0786,0.277,96.062,0.0395,0.0992,0.0,1,1,0
Odio el Dia (Spanish),Left Alone,Ska,25,0.556,0.984,-6.285,0.00915,0.959,97.498,0.0481,0.297,0.0,1,1,0
The Rest of Our Life,Tim McGraw,Country,63,0.617,0.468,-6.908,0.65,0.333,119.921,0.0291,0.141,0.0,1,0,0
Amor Perfecto,Papi Wilo,Reggaeton,28,0.785,0.712,-5.14,0.153,0.794,180.109,0.214,0.396,2.93e-06,1,1,0
君とはもう出会えない,Motohiro Hata,Anime,29,0.625,0.305,-12.507,0.616,0.345,136.053,0.0307,0.0926,0.0,1,0,0
Android 17 & 18,Bruce Faulconer,Anime,15,0.185,0.135,-21.799,0.663,0.0312,66.852,0.0373,0.108,0.692,2,0,0
Happy Holiday / It's the Most Wonderful Time of the Year,Voctave,Movie,17,0.413,0.24,-11.981,0.952,0.563,76.24,0.034,0.131,0.0,2,0,0
Hookers,Tierra Whack,R&B,58,0.702,0.499,-6.828,0.687,0.227,167.079,0.151,0.159,2.28e-06,1,1,0
Five Pieces for Piano: II. Flowing,Bruce Broughton,Movie,0,0.283,0.0301,-30.126,0.994,0.0416,85.908,0.0494,0.0858,0.937,2,0,0
Dew,Polynation,Electronic,40,0.493,0.804,-8.645,0.168,0.0358,93.988,0.0299,0.0608,0.924,1,1,0
Healing Dance,Swingrowers,Jazz,38,0.591,0.798,-6.214,0.138,0.711,199.863,0.183,0.0959,3.74e-06,1,1,0
I Lived It,Blake Shelton,Country,65,0.557,0.571,-8.106,0.476,0.392,80.981,0.0281,0.101,0.00114,1,0,0
No More Mr. Nice Guy - Remastered Version,Alice Cooper,Blues,39,0.533,0.703,-6.364,0.184,0.612,128.761,0.0423,0.101,0.0,1,1,0
Lawn Boy,Phish,Blues,22,0.626,0.28,-16.641,0.596,0.342,106.016,0.0388,0.109,0.0162,2,0,0
Never Fight A Man With A Perm,IDLES,Children’s Music,44,0.255,0.946,-4.876,0.000288,0.223,155.967,0.152,0.196,0.000565,1,1,0
Mario Cart,A$AP ANT,Hip-Hop,48,0.803,0.647,-7.549,0.523,0.217,119.048,0.295,0.101,0.0196,1,1,0
First Time I Met The Blues - Single Version,Buddy Guy,Blues,26,0.417,0.549,-14.67,0.817,0.819,99.565,0.0495,0.0576,0.000325,1,0,0
Hollywood,Katt Williams,Comedy,28,0.628,0.933,-11.465,0.836,0.122,101.775,0.935,0.89,0.0,0,2,0
Blow That Smoke,Major Lazer,Pop,62,0.719,0.703,-4.93,0.032,0.72,101.984,0.0392,0.0656,1.14e-05,1,1,0
Coco Mango Sliced (Power Outage Instrumental),Damu The Fudgemunk,Jazz,12,0.6,0.57,-6.748,0.000285,0.654,190.201,0.326,0.123,0.897,1,1,0
Escape,Kehlani,Rap,64,0.562,0.688,-5.353,0.0391,0.707,79.979,0.0794,0.235,0.0,1,1,0
Hate My Life,Theory of a Deadman,Alternative,56,0.508,0.828,-4.065,0.0162,0.449,125.868,0.033,0.266,0.0,1,1,0
High As Hell,Keith Murray,Children’s Music,50,0.78,0.738,-8.876,0.23,0.838,96.902,0.335,0.261,0.0,1,1,0
The Beating of a High School Janitor,Adam Sandler,Comedy,21,0.68,0.574,-10.347,0.145,0.614,97.392,0.891,0.111,0.0,0,2,-1
"Giuseppe Tornatore Suite: Playing Love from ""The Legend of 1900""",Ennio Morricone,Soundtrack,42,0.163,0.144,-17.159,0.985,0.0722,80.402,0.0381,0.113,0.88,2,0,0
The Weakness In Me,Joan Armatrading,Folk,50,0.727,0.193,-14.776,0.627,0.399,101.854,0.0303,0.139,2.11e-06,2,0,0
The Flower Called Nowhere,Stereolab,Electronic,44,0.525,0.634,-9.952,0.669,0.546,105.701,0.0258,0.199,0.0118,1,1,0
Little Bit of Feel Good,Jamie Lidell,Soul,43,0.673,0.704,-7.307,0.0749,0.698,101.061,0.0942,0.662,4.32e-05,1,1,0
Menage a Trois,Gypsy Jazz Caravan,Jazz,42,0.503,0.274,-14.458,0.936,0.556,116.809,0.0613,0.246,0.899,2,0,0
Santa Claus Is Coming To Town,Mason Jennings,Folk,44,0.546,0.273,-10.567,0.826,0.533,145.826,0.0557,0.116,2.08e-06,1,0,0
Tightrope,Sara Bareilles,Rock,62,0.514,0.266,-13.021,0.908,0.0647,97.007,0.0331,0.0838,0.0107,2,0,0
In My Veins - Feat. Erin Mccarley,Andrew Belle,Pop,65,0.548,0.42,-7.842,0.198,0.196,128.012,0.0277,0.0899,4.46e-06,1,1,0
"Medley: Caroling, Caroling / The First Noel / Hark! The Herald Angels Sing / Silent Night",Perry Como,Jazz,53,0.148,0.134,-17.292,0.952,0.107,87.314,0.0317,0.208,0.00144,2,0,0
Trapped By a Thing Called Love,Denise LaSalle,Soul,51,0.719,0.486,-9.489,0.119,0.824,141.515,0.0538,0.0718,3.19e-05,1,1,0
Drinks On Us,Mike WiLL Made-It,Pop,60,0.774,0.628,-6.536,0.365,0.485,128.982,0.274,0.0991,8.94e-05,1,1,0
Livin' It,Flipp Dinero,Hip-Hop,52,0.837,0.932,-2.679,0.385,0.768,144.051,0.328,0.141,0.0,1,1,0
O Come Little Children / the First Noel,Kim Mitzo Thompson,Children's Music,0,0.3,0.135,-18.88,0.878,0.117,99.284,0.0276,0.113,0.0109,2,0,0
Ain't Gwine Whistle Dixie (Anymo') - Live,Taj Mahal,Jazz,42,0.544,0.571,-12.837,0.275,0.614,109.244,0.0358,0.654,0.338,1,1,0
Te vas,Divino,Reggaeton,16,0.68,0.776,-4.891,0.103,0.641,83.994,0.0421,0.0749,3.37e-06,1,1,0
Ayatori,Sou,Anime,14,0.686,0.807,-4.475,0.188,0.462,115.962,0.0475,0.776,0.0,1,1,0
"Piano Sonata No. 5 in G Major, K. 283: I. Allegro",Wolfgang Amadeus Mozart,Classical,37,0.451,0.0992,-22.819,0.993,0.531,114.751,0.0433,0.0966,0.913,2,0,0
Through Your Soul,Amp Fiddler,Jazz,46,0.85,0.491,-3.802,0.199,0.769,95.028,0.0843,0.123,0.00326,1,1,0
"Mammas, Don't Let Your Babies Grow Up to Be Cowboys",Waylon Jennings,Country,64,0.592,0.422,-11.549,0.614,0.536,94.597,0.0332,0.158,0.0015,1,0,0
Freedom Fighter,Anthony B,Reggae,46,0.715,0.747,-5.727,0.135,0.857,172.088,0.197,0.203,0.0,1,1,0
Nothing Left For You,Sam Smith,Pop,61,0.504,0.308,-8.605,0.591,0.205,126.956,0.0477,0.137,1.61e-06,1,0,0
No Dejemos Que Se Apague,Wisin & Yandel,Reggaeton,51,0.838,0.705,-3.616,0.0516,0.225,127.964,0.122,0.0538,0.0,1,1,0
Teach Me,Miguel,R&B,41,0.631,0.63,-4.746,0.086,0.551,120.007,0.0719,0.138,0.0,1,1,0
Tarova,Snarky Puppy,Jazz,48,0.583,0.812,-7.286,0.0133,0.512,94.094,0.0792,0.0458,0.848,1,1,0
Round of new thing,亜咲花,Anime,17,0.474,0.987,-2.878,0.0133,0.639,175.011,0.164,0.146,0.0,1,1,0
Myself When I Am Real,Charles Mingus,Jazz,35,0.441,0.179,-17.097,0.992,0.104,132.748,0.0424,0.084,0.904,2,0,0
"1,2 Step",Juice Music,Children's Music,6,0.889,0.348,-11.778,0.223,0.72,113.017,0.184,0.078,0.000142,1,1,0
In Christ Alone / The Solid Rock,Travis Cottrell,World,36,0.428,0.481,-6.472,0.39,0.217,123.961,0.0312,0.143,1.68e-05,1,1,0
Sleepless - Xilent Remix,Excision,Electronic,32,0.57,0.965,-3.659,0.0522,0.657,139.984,0.217,0.357,0.000789,1,1,0
The Dragon Book,John Powell,Soundtrack,45,0.283,0.231,-20.398,0.391,0.192,82.685,0.0327,0.111,0.87,2,0,0
God I Look to You,Jenn Johnson,World,34,0.215,0.395,-8.716,0.0616,0.158,135.893,0.0339,0.254,8.11e-06,1,1,0
If It's Lovin' That You Want,Rihanna,R&B,54,0.745,0.694,-7.519,0.0962,0.74,95.924,0.128,0.0454,0.0,1,1,0
Tell Me a Bedtime Story,Herbie Hancock,Jazz,0,0.4,0.533,-16.624,0.703,0.344,118.512,0.0292,0.115,0.948,2,1,0
Pegau,Wisin & Yandel,Reggaeton,27,0.79,0.809,-5.345,0.517,0.804,96.081,0.264,0.375,0.0,1,1,0
Leyendo en el Hospital,Gustavo Santaolalla,Classical,42,0.57,0.0167,-21.525,0.897,0.197,115.9,0.0776,0.11,0.884,2,0,0
Somebodys Baby,Pat Kelly,Reggae,32,0.768,0.505,-7.618,0.203,0.798,84.874,0.0368,0.169,1.5e-06,1,1,0
Image & Collage - Bonus Track,Haruomi Hosono,Soundtrack,40,0.599,0.0799,-21.494,0.982,0.0899,110.089,0.0471,0.105,0.842,2,0,0
Unknown,Tuvaband,Folk,60,0.417,0.102,-16.787,0.959,0.0863,130.994,0.0368,0.891,0.000275,2,0,0
Celos (feat. Opi the Hit Machine),Ronald El Killa,Reggaeton,29,0.762,0.744,-4.7,0.0405,0.812,179.941,0.202,0.0687,0.0,1,1,0
King of Suede,"""Weird Al"" Yankovic",Comedy,22,0.78,0.808,-10.056,0.271,0.569,128.505,0.0382,0.0958,0.0,1,1,0
Ryo Ni Kaero,Falcom Sound Team jdk,Anime,9,0.416,0.426,-11.514,0.472,0.209,147.987,0.0281,0.133,0.891,2,1,0
Until The Whole World Hears,Casting Crowns,Alternative,43,0.426,0.915,-3.316,0.0166,0.68,158.001,0.0519,0.149,0.0,1,1,0
Youth,Glass Animals,Rock,68,0.648,0.718,-7.765,0.129,0.785,96.017,0.0298,0.112,0.00156,1,1,0
Going Through Changes,Eminem,Rap,62,0.693,0.899,-4.084,0.0197,0.319,86.048,0.259,0.0594,0.0,1,1,0
Sometime Around Midnight,The Airborne Toxic Event,Rock,54,0.448,0.829,-5.058,0.00306,0.168,125.934,0.0473,0.139,0.00416,1,1,0
"Cracking The Russian Codes - From ""A Beautiful Mind"" Soundtrack",James Horner,Soundtrack,25,0.191,0.0785,-23.939,0.951,0.0349,79.28,0.0422,0.188,0.821,2,0,0
I Don't Care,Ariana Grande,Dance,63,0.59,0.403,-8.286,0.729,0.287,111.948,0.0431,0.153,1.38e-06,1,0,0
No Complaints No Conversation,Watsky,Hip-Hop,53,0.786,0.667,-5.62,0.229,0.879,148.01,0.232,0.0936,0.0,1,1,0
Allegro #1 (Flowing 3/4): Impromptu Mazurka Op. 302 #4,Kimbo Children's Music,Children's Music,0,0.595,0.317,-16.816,0.994,0.442,107.623,0.0482,0.141,0.9,2,0,0
Run Wild,Jon Bellion,Rap,57,0.555,0.543,-7.689,0.245,0.777,90.67,0.237,0.123,0.0,1,1,0
Riot,Summer Walker,R&B,63,0.58,0.0978,-13.519,0.624,0.389,170.803,0.332,0.112,0.0,2,1,0
Nip Tuck,Nicki Minaj,Dance,54,0.848,0.62,-7.085,0.015,0.366,119.963,0.188,0.195,0.0,1,1,0
All Over The Road,Easton Corbin,Rock,62,0.491,0.841,-3.579,0.0471,0.721,199.851,0.0421,0.0886,0.0,1,1,0
Momentos,Bryant Myers,Reggaeton,60,0.676,0.654,-3.77,0.3,0.737,174.147,0.151,0.14,2.76e-05,1,1,0
Crimson Eyes,Eir Aoi,Anime,13,0.335,0.877,-4.676,0.000433,0.273,91.386,0.0415,0.086,0.0,1,1,0
Garden of Love,Don Drummond,Ska,33,0.865,0.551,-7.747,0.142,0.957,124.51,0.0515,0.163,0.152,1,1,0
IDOL,BTS,Pop,79,0.734,0.855,-3.211,0.00481,0.422,126.035,0.118,0.123,0.0,1,1,0
Wastelands,Amber Run,Folk,40,0.251,0.431,-9.792,0.0246,0.0391,160.564,0.0419,0.236,0.043,1,1,0
iPhone problems,Nick Swardson,Comedy,31,0.581,0.805,-7.198,0.753,0.294,65.134,0.915,0.581,0.0,0,2,0
Numb,Rihanna,R&B,48,0.714,0.692,-5.753,0.0204,0.34,128.993,0.122,0.146,0.000503,1,1,0
Everything Now,Arcade Fire,Alternative,64,0.548,0.865,-5.325,0.00171,0.61,116.046,0.0302,0.457,0.000449,1,1,0
Martian Girl!,The Aquabats!,Ska,31,0.68,0.894,-5.683,0.0222,0.693,98.413,0.077,0.0732,0.000534,1,1,0
煌めく浜辺 - Instrumental,大原ゆい子,Anime,10,0.537,0.659,-8.091,0.159,0.278,138.006,0.0246,0.14,0.946,1,1,0
Ariadna (ариадна),Kedr Livanskiy,Electronic,38,0.452,0.686,-9.752,0.112,0.273,119.974,0.0431,0.095,0.901,1,1,0
Oloruka,Fela Kuti,World,20,0.658,0.625,-5.867,0.848,0.894,102.112,0.0654,0.1,0.00398,1,1,0
Si Te Da lo Mismo - Versión 25 Años [Live],Los Cafres,Ska,41,0.644,0.732,-7.545,0.0921,0.662,150.105,0.0331,0.717,0.0,1,1,0
Unwritable Girl,Gregory Alan Isakov,Indie,48,0.356,0.268,-13.01,0.751,0.158,109.053,0.0301,0.113,0.0854,2,0,0
The Shepherd's Boy,Murray Gold,Soundtrack,32,0.343,0.396,-11.489,0.84,0.12,82.787,0.0308,0.127,0.901,2,0,0
Friends & Business,The Skints,Ska,22,0.777,0.634,-7.57,0.0153,0.823,135.015,0.0365,0.146,2.7e-05,1,1,0
"Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": III. Menuetto",Wolfgang Amadeus Mozart,Classical,9,0.371,0.0216,-23.549,0.824,0.49,70.374,0.0466,0.412,0.23,2,0,0
DucK my Ex (feat. Chris Brown & 2 Chainz),Tory Lanez,Hip-Hop,65,0.707,0.741,-4.822,0.106,0.689,159.924,0.107,0.0708,0.0,1,1,0
"O Come, All Ye Faithful",Marilyn Horne,Opera,4,0.172,0.484,-12.193,0.97,0.333,85.344,0.0427,0.28,0.000927,2,0,0
All the People Said Amen,Matt Maher,World,50,0.685,0.875,-5.217,0.0247,0.82,94.987,0.056,0.0874,0.0,1,1,0
Brother Can You Spare a Dime,Dick Van Dyke,Movie,29,0.57,0.319,-13.051,0.557,0.162,94.892,0.0334,0.473,0.0042,2,0,0
Pa Ti,Bad Bunny,Reggaeton,69,0.766,0.715,-3.025,0.348,0.555,128.085,0.231,0.098,0.0,1,1,0
Rebel Yell,Dope,Children’s Music,51,0.326,0.949,-4.226,0.00011,0.305,166.946,0.0885,0.275,0.186,1,1,0
Custer,Slipknot,Children’s Music,59,0.407,0.98,-1.58,0.00174,0.537,131.066,0.107,0.119,0.000112,1,1,0
"Verdi: Aïda, Act 4 Scene 2: ""O terra, addio, valle di pianti"" (Aida, Radames, Amneris, Chorus)",Giuseppe Verdi,Opera,9,0.179,0.071,-22.185,0.989,0.0464,80.002,0.0459,0.168,1.5e-05,2,0,0
Day 1 ◑,HONNE,R&B,67,0.503,0.581,-7.007,0.21,0.633,94.555,0.0881,0.257,0.000708,1,1,0
Tawo,Jordan Rakei,Indie,53,0.781,0.426,-9.941,0.115,0.571,91.029,0.0959,0.131,0.23,1,1,0
Mona Lisas and Mad Hatters,Mandy Moore,Movie,26,0.414,0.529,-6.351,0.465,0.267,134.325,0.0284,0.109,0.0,1,0,0
Tipsy (feat. RAYE),Odunsi (The Engine),R&B,60,0.746,0.671,-4.984,0.239,0.677,90.014,0.055,0.327,4.32e-06,1,1,0
"Carmen, WD 31, Act II: La fleur que tu m'avais jetée (Live)",Georges Bizet,Opera,17,0.0898,0.0272,-30.75,0.944,0.0598,83.544,0.0503,0.665,0.000822,2,0,0
Trapped (feat. Jussie Smollett & Yazz),Empire Cast,Dance,47,0.643,0.799,-5.783,0.014,0.319,72.546,0.274,0.155,0.0,1,1,0
Biblical Sense,The Pietasters,Ska,15,0.8,0.683,-7.896,0.534,0.835,147.948,0.0652,0.0344,0.502,1,1,0
There's a Reason,Wet,Indie,53,0.619,0.587,-7.02,0.308,0.264,104.971,0.0362,0.13,0.036,1,0,0
Midnight Blues,Joe Bonamassa,Blues,20,0.214,0.475,-6.623,0.361,0.383,74.127,0.0387,0.849,0.111,1,0,0
A Little Too Much,Shawn Mendes,Dance,65,0.553,0.507,-6.24,0.473,0.57,83.093,0.0304,0.108,0.0,1,0,0
Sharing the Bean Bag,Hap Palmer,Children's Music,0,0.889,0.483,-11.075,0.483,0.964,116.451,0.0402,0.198,1.16e-06,1,1,0
Hello Trouble,Buck Owens,Country,40,0.672,0.49,-9.409,0.724,0.906,94.35,0.0305,0.106,0.0,1,1,0
Destiny,Sir Charles Jones,Blues,33,0.535,0.6,-6.361,0.686,0.586,71.612,0.141,0.123,0.0,1,1,0
Dominatrix Health Care,Doug Stanhope,Comedy,21,0.73,0.635,-7.495,0.761,0.624,112.029,0.92,0.801,0.0,0,2,0
Instrument Game,Radha,Children's Music,0,0.55,0.523,-8.74,0.171,0.909,173.163,0.52,0.73,1.11e-06,0,1,0
Home We'll Go (Take My Hand) - Michael Brun Remix,Steve Aoki,Dance,53,0.658,0.611,-4.754,0.36,0.611,122.039,0.0356,0.28,0.00813,1,1,0
Life Sucks... Let's Dance!,Reel Big Fish,Ska,47,0.63,0.929,-2.964,0.0213,0.924,96.499,0.0404,0.324,0.0,1,1,0
8. La Danza,Gioachino Rossini,Classical,33,0.471,0.377,-12.636,0.952,0.752,139.328,0.0448,0.315,0.633,2,1,0
Watch Your Back,Cock Sparrer,Ska,34,0.416,0.848,-4.105,0.0203,0.735,166.052,0.042,0.143,0.0,1,1,0
Escape the Machine,Mika Kobayashi,Anime,15,0.6,0.756,-6.614,0.012,0.46,120.126,0.0369,0.0963,0.000221,1,1,0
Limos,Vince Staples,Hip-Hop,52,0.484,0.732,-5.866,0.326,0.548,176.084,0.426,0.11,2.16e-05,1,1,0
Hey,Red Hot Chili Peppers,Children’s Music,56,0.815,0.577,-6.253,0.309,0.737,122.61,0.0369,0.101,1.02e-05,1,1,0
Black Betty,Larkin Poe,Blues,38,0.583,0.841,-4.232,0.355,0.866,116.896,0.21,0.157,1.02e-05,1,1,0
I Pray My Way Out Of Trouble,Josh Turner,Country,42,0.54,0.471,-5.888,0.432,0.491,104.869,0.0261,0.261,6.02e-06,1,0,0
Zillion Should Be a Word (Live),Andrew Norelli,Comedy,18,0.559,0.727,-10.446,0.791,0.658,128.322,0.886,0.773,0.0,0,2,0
"Les contes d'Hoffmann, Act II: Entr'acte - Elle a fui, la tourterelle (Live)",Jacques Offenbach,Classical,0,0.154,0.0179,-27.506,0.964,0.0346,173.78,0.0533,0.354,9.18e-05,2,0,0
Throwing Shade,Lil Baby,Pop,65,0.794,0.447,-9.253,0.0119,0.189,139.949,0.152,0.109,0.000179,1,1,0
American Attraction - Acoustic,Anti-Flag,Ska,31,0.706,0.77,-6.347,0.502,0.749,119.936,0.0326,0.156,0.0,1,1,0
Funny,Gerald Levert,Soul,37,0.75,0.542,-5.22,0.0941,0.629,78.928,0.0496,0.0618,0.0,1,1,0
"Requiem, K. 626: Lacrimosa",Wolfgang Amadeus Mozart,Classical,65,0.162,0.0898,-23.269,0.944,0.0413,132.047,0.0354,0.187,0.917,2,0,0
Let It Go,The Story So Far,Children’s Music,54,0.321,0.937,-4.281,0.00772,0.344,172.974,0.0613,0.21,9.46e-05,1,1,0
Play It Right,Sylvan Esso,Indie,48,0.617,0.51,-9.039,0.601,0.159,132.025,0.0433,0.0919,0.00523,1,0,0
Belle,Susan Egan,Movie,39,0.533,0.233,-16.578,0.819,0.471,124.902,0.145,0.0604,0.0,2,0,0
Baa-Baa Black Sheep,The Countdown Kids,Children's Music,5,0.829,0.385,-10.769,0.424,0.934,110.093,0.0401,0.0569,0.0,1,1,0
Recipe For Love,"Harry Connick, Jr.",Jazz,46,0.621,0.174,-16.702,0.763,0.659,141.465,0.0693,0.0777,0.0,2,0,0
"Don't Say ""Lazy"" (From ""K-On!"")",Sakurakou K-ON Bu,Anime,43,0.311,0.981,-2.312,0.0023,0.365,180.967,0.0736,0.29,0.0499,1,1,0
Cristo Redentor - Remastered,Donald Byrd,Jazz,44,0.26,0.203,-12.231,0.99,0.064,173.503,0.0353,0.134,0.944,2,0,0
Price Tag,Jessie J,Rap,62,0.638,0.831,-3.944,0.0281,0.685,175.038,0.182,0.277,3.06e-06,1,1,0
Flicker - Mixed,Bonobo,Electronic,50,0.68,0.718,-10.722,0.037,0.092,121.006,0.043,0.0823,0.787,1,1,0
Sinnerman - Live In New York/1965,Nina Simone,Blues,59,0.436,0.543,-13.351,0.654,0.663,148.282,0.0962,0.0937,9.35e-06,1,0,0
Talk Dirty To Me - 2006 - Remaster,Poison,Rock,59,0.49,0.951,-3.888,0.00888,0.628,158.075,0.0966,0.376,0.00126,1,1,0
Cherry Wine - Live,Hozier,Pop,71,0.415,0.11,-14.901,0.951,0.234,81.876,0.0388,0.0962,0.00236,2,0,0
La 44,El Futuro Fuera De Orbita,Reggaeton,41,0.5,0.885,-5.328,0.0214,0.765,154.836,0.249,0.157,0.00725,1,1,0
Who...,Ayumi Hamasaki,Anime,35,0.575,0.766,-4.916,0.182,0.342,81.787,0.0295,0.108,2.61e-05,1,0,0
Bad Boy Good Man (Feat. Henrik Wager) - Aerophon Mix,Tape Five,Jazz,39,0.829,0.879,-5.62,0.502,0.922,127.047,0.0543,0.142,0.00483,1,1,0
The Come Up,Mocky,Jazz,49,0.561,0.505,-13.184,0.203,0.652,105.185,0.0513,0.326,0.47,1,1,0
Doctor Wu,Steely Dan,Folk,51,0.674,0.538,-10.469,0.344,0.696,121.269,0.0401,0.097,2.13e-06,1,0,0
Dead End Alley,Bill Elm & Woody Jackson,Soundtrack,42,0.224,0.133,-11.28,0.967,0.164,142.818,0.0308,0.137,0.891,2,0,0
青春脱出速度,"Kami-sama, I have noticed",Anime,33,0.549,0.955,-4.104,0.00354,0.528,110.467,0.0641,0.878,2.44e-06,1,1,0
Warning,Chuck Fenda,Reggae,47,0.728,0.748,-4.518,0.0511,0.701,89.804,0.227,0.0556,0.0,1,1,0
See It To Believe It,Transplants,Ska,30,0.471,0.983,-2.285,0.00231,0.361,179.987,0.134,0.119,0.0,1,1,0
Hang Up My Rock And Roll Shoes,Chuck Willis,Jazz,44,0.632,0.641,-7.647,0.655,0.923,131.476,0.0659,0.071,0.0,1,1,0
Uritual,Boards of Canada,World,35,0.242,0.0221,-30.294,0.99,0.0624,128.139,0.061,0.111,0.835,2,0,0
Tout Ca,Henri Salvador,Movie,0,0.445,0.0357,-15.491,0.986,0.216,76.105,0.0564,0.212,2.53e-05,2,0,0
Ready to Go,Ale Mendoza,Reggaeton,28,0.844,0.773,-6.278,0.00655,0.968,130.009,0.0625,0.0302,0.00236,1,1,0
Blackout,Pepper,Ska,19,0.329,0.843,-4.682,0.12,0.458,181.013,0.186,0.342,0.00391,1,1,0
Here Without You - Acoustic,3 Doors Down,Alternative,46,0.547,0.575,-6.282,0.0198,0.311,143.752,0.0258,0.205,0.0,1,1,0
"Delibes: Coppélia ou la fille aux yeux d'émail (Ballet), Act 3: No. 20, Fête de la cloche - Divertissement, (g) La paix (Moderato)",Léo Delibes,Opera,13,0.0782,0.0484,-29.41,0.964,0.0458,79.057,0.0465,0.112,0.564,2,0,0
Johnny Too Bad,Sublime,Ska,30,0.667,0.565,-8.978,0.47,0.725,82.755,0.059,0.183,0.155,1,1,0
Sweet Dreams (Are Made Of This),Weezer,Children’s Music,66,0.727,0.756,-4.766,0.0348,0.874,125.28,0.029,0.0584,1.47e-05,1,1,0
Reeko,NOFX,Ska,38,0.493,0.495,-8.744,0.00129,0.914,131.568,0.045,0.0581,0.00106,1,1,0
La Banda,Willie Colón,Jazz,36,0.679,0.941,-3.52,0.697,0.92,112.954,0.0603,0.087,0.000115,1,1,0
A Lack Of Color,Death Cab for Cutie,Indie,54,0.642,0.339,-11.884,0.81,0.355,135.812,0.0291,0.108,0.000751,1,0,0
Tell Mama – Live at Spotify NYC,Tedeschi Trucks Band,Blues,30,0.564,0.965,-4.546,0.111,0.353,122.601,0.29,0.675,0.000219,1,1,0
She's Gone,Mad Caddies,Ska,39,0.827,0.644,-6.574,0.00234,0.803,80.001,0.0951,0.241,4.66e-06,1,1,0
1stp Klosr (feat. Jonathan Davis),Linkin Park,Alternative,43,0.471,0.927,-5.76,0.00272,0.232,96.149,0.0495,0.115,0.537,1,1,0
Del Fuego,Fat Freddy's Drop,Reggae,38,0.44,0.254,-18.464,0.374,0.0883,118.318,0.0431,0.111,0.674,2,1,0
Facetime,Ari Lennox,Alternative,52,0.754,0.504,-7.174,0.363,0.797,78.014,0.0405,0.0964,2.51e-05,1,1,0
"Smile Now, Cry Later",Sunny & The Sunliners,Soul,39,0.467,0.31,-13.497,0.284,0.333,91.956,0.0295,0.535,0.0,1,0,0
Amerimacka featuring Notch,Thievery Corporation,Jazz,46,0.699,0.678,-9.212,0.251,0.363,76.835,0.0413,0.516,0.697,1,1,0
Blood Money,10 Ft. Ganja Plant,Reggae,48,0.789,0.793,-6.629,0.0217,0.743,149.368,0.107,0.112,0.826,1,1,0
BONUS: Nondenominational,Sinbad,Comedy,14,0.471,0.648,-7.511,0.794,0.331,117.097,0.47,0.88,0.0,0,2,0
Nannou,Aphex Twin,Electronic,32,0.709,0.594,-15.616,0.725,0.47,151.984,0.0592,0.0789,0.938,2,0,0
Video Killed The Radio Star,The Buggles,Dance,64,0.675,0.61,-13.811,0.0852,0.344,131.037,0.085,0.159,0.0188,1,1,0
No Good,Hamish Anderson,Blues,27,0.516,0.737,-5.349,0.00177,0.679,113.057,0.0361,0.274,0.125,1,1,0
1969-11,Aun J-Classic Orchestra,Anime,13,0.463,0.591,-5.544,0.00558,0.542,167.77,0.0535,0.397,0.737,1,1,0
One Unread,Amber Olivier,R&B,42,0.654,0.402,-9.883,0.385,0.435,148.14,0.04,0.173,3.05e-05,1,0,0
Pondicherry,Mychael Danna,Soundtrack,32,0.461,0.152,-22.533,0.952,0.179,111.066,0.0396,0.0898,0.111,2,0,0
Joan of Arc,Night Lovell,Rap,68,0.915,0.668,-2.52,0.00375,0.0387,124.053,0.04,0.253,0.00241,1,1,0
Head.Cars.Bending,The 1975,Alternative,41,0.601,0.586,-8.644,0.217,0.353,130.042,0.0957,0.136,3.85e-05,1,1,0
Mad (feat. Devon Baldwin),G-Eazy,Indie,50,0.615,0.8,-7.423,0.0684,0.309,134.052,0.0571,0.106,0.0,1,1,0
Yuck,Logic,Hip-Hop,64,0.631,0.805,-5.401,0.194,0.674,155.864,0.369,0.132,0.0,1,1,0
8th Grade,Mariah Carey,Dance,56,0.76,0.463,-6.511,0.164,0.184,126.938,0.0599,0.0884,0.0,1,1,0
